id,title,format,affiliation 1,affiliation 2,affiliation 3,affiliation 4,affiliation 5,affiliation 6,affiliation 7,tags,year,ID,Abstract,lower_abstract,affiliation,mode of presentation,affiliation 8,affiliation 9,affiliation 10,tags (primary),tags (secondary),affiliation 11
2021-3,Taking the Temperature: Research in the Time of COVID-19,Panel Session,Rutgers University,University of Missouri,,,,,,,2021,2021-3,"The COVID-19 pandemic has fundamentally changed higher education and academic libraries. Services and modes of collaboration have had to shift dramatically to adapt to challenges and support the rapidly changing needs of our communities. This panel features three research projects that identify how academic libraries and researchers have responded to the COVID-19 pandemic: how researchers have modified the ways they collaborate, conduct and disseminate research, and how they have used the pandemic to generate new research; how academic library leaders have used these responses to envision a new model library; and how libraries have transitioned to fully virtual reference models.","the covid-19 pandemic has fundamentally changed higher education and academic libraries. services and modes of collaboration have had to shift dramatically to adapt to challenges and support the rapidly changing needs of our communities. this panel features three research projects that identify how academic libraries and researchers have responded to the covid-19 pandemic: how researchers have modified the ways they collaborate, conduct and disseminate research, and how they have used the pandemic to generate new research; how academic library leaders have used these responses to envision a new model library; and how libraries have transitioned to fully virtual reference models.",,Live ,,,,Assessment,Research Design,
2021-4,A Diverse and Authentic Conversation on Leadership During a Time of Crisis and Unprecedented Changes in Academic Libraries,Panel Session,University of Missouri at Columbia,University of Arkansas,Temple University,Penn State University,"Miami University, Ohio",,,,2021,2021-4,"In a time of crisis, true leaders emerge. How did five minority library leaders handle COVID-19? This panel features five graduates of the 2010 Minnesota Institute for Early Career Librarians from Traditionally Underrepresented Groups cohort applied their leadership training and experience to deal with COVID-19’s impact on their libraries. Each panelist holds a diverse position from academic libraries of varying sizes. The discussion will focus on the early responses and will pay specific attention to compassionate and empathetic leadership; effective communication; managing unexpected challenges quickly; inspiring creativity and innovation; and integrating DEI perspectives in decision making. The panelists will reflect on the lessons learned with recommendations on moving forward. ","in a time of crisis, true leaders emerge. how did five minority library leaders handle covid-19? this panel features five graduates of the 2010 minnesota institute for early career librarians from traditionally underrepresented groups cohort applied their leadership training and experience to deal with covid-19’s impact on their libraries. each panelist holds a diverse position from academic libraries of varying sizes. the discussion will focus on the early responses and will pay specific attention to compassionate and empathetic leadership; effective communication; managing unexpected challenges quickly; inspiring creativity and innovation; and integrating dei perspectives in decision making. the panelists will reflect on the lessons learned with recommendations on moving forward. ",,Live ,,,,"Administration, Management, and Leadership","Equity, Diversity and Inclusion",
2021-5,Out in the Open: The Future of Library Services for LGBTQIA+ Students of Color,Panel Session,Atlanta University Center,Middle Georgia State University,,,,,,,2021,2021-5,"LGBTQIA+ college students have unique information needs that academic libraries can better support through specialized services. LGBTQIA+ students are not a monolith, and there are no one-size-fits-all solutions in this area, but libraries can perform dedicated outreach to LGBTIQIA+ students to determine how they can better serve these patrons. This panel will review a research project that explored the information needs of LGBTQIA+ students of color, offering it as an example of how to conduct research in order to improve library services in this area. ","lgbtqia+ college students have unique information needs that academic libraries can better support through specialized services. lgbtqia+ students are not a monolith, and there are no one-size-fits-all solutions in this area, but libraries can perform dedicated outreach to lgbtiqia+ students to determine how they can better serve these patrons. this panel will review a research project that explored the information needs of lgbtqia+ students of color, offering it as an example of how to conduct research in order to improve library services in this area. ",,Live ,,,,"Equity, Diversity and Inclusion",Campus Outreach/Engagement,
2021-6,Where are the captions? Using Universal Design for Learning to develop a model for accessible library media access,Contributed Paper,Boise State University,,,,,,,,2021,2021-6,"During the 2020 Covid19 pandemic, thousands of higher education institutions made a rapid shift to online learning. This transition (or exacerbated) highlighted a crucial flaw in our education system: the lack of accessible library materials in our online learning environments. In this presentation, we will discuss the results of a survey on accessible online media access acquisitions that lead to the creation of the Library Model for Adopting Accessible Practices in Acquisitions. This model is based on Universal Design for Learning principles and can be used by an institution to measure their current practices and develop an iterative process to build a future for all learners regardless of ability. Participants will be provided an opportunity to both engage in reflection and develop a plan to use the model to refine policies, staff training, and practices in media access at their institution. ","during the 2020 covid19 pandemic, thousands of higher education institutions made a rapid shift to online learning. this transition (or exacerbated) highlighted a crucial flaw in our education system: the lack of accessible library materials in our online learning environments. in this presentation, we will discuss the results of a survey on accessible online media access acquisitions that lead to the creation of the library model for adopting accessible practices in acquisitions. this model is based on universal design for learning principles and can be used by an institution to measure their current practices and develop an iterative process to build a future for all learners regardless of ability. participants will be provided an opportunity to both engage in reflection and develop a plan to use the model to refine policies, staff training, and practices in media access at their institution. ",,Live ,,,,"Equity, Diversity and Inclusion",Access,
2021-7,Leading an Open Revolution: Promoting Awareness of Open Resources through Interdisciplinary Engagement,Contributed Paper,University of Scranton,,,,,,,,2021,2021-7,"This session will report on the initial findings of a research study on a series of interdisciplinary seminars focused on open resources and tools. Composed of faculty and staff across disciplines and academic departments, this monthly seminar series creates a setting to explore open resource topics from divergent perspectives. Organized by three librarians, the seminars seek to broaden campus awareness of open resources and challenge predetermined notions. This paper will discuss a study that assessed the effectiveness of these interdisciplinary discussions in raising awareness of open resources and encouraging the implementation of these resources and tools by colleagues across disciplines.","this session will report on the initial findings of a research study on a series of interdisciplinary seminars focused on open resources and tools. composed of faculty and staff across disciplines and academic departments, this monthly seminar series creates a setting to explore open resource topics from divergent perspectives. organized by three librarians, the seminars seek to broaden campus awareness of open resources and challenge predetermined notions. this paper will discuss a study that assessed the effectiveness of these interdisciplinary discussions in raising awareness of open resources and encouraging the implementation of these resources and tools by colleagues across disciplines.",,Live ,,,,Outreach,Open Access,
2021-8,An Emergent Pedagogy of Presence and Care: Addressing Student Affect in Information Literacy Instruction,Contributed Paper,James Madison University,,,,,,,,2021,2021-8,"How are librarians addressing emotions and affect, including shame, anxiety, and other mental health concerns, in the information literacy classroom? Grounded in a feminist ethic of care and principles of Emergent Strategy (brown 2017), this session will explore how our pedagogies can address the affective side of student learning. As instruction librarians, we are often guests in the classroom who disrupt the day-to-day classroom environment. We may use pedagogical strategies that students are unused to and unprepared for. This session aims to provide space to discuss the connection between emotions and cognition, how this affects student learning, and share strategies for how we can increase our affective instruction competency. ","how are librarians addressing emotions and affect, including shame, anxiety, and other mental health concerns, in the information literacy classroom? grounded in a feminist ethic of care and principles of emergent strategy (brown 2017), this session will explore how our pedagogies can address the affective side of student learning. as instruction librarians, we are often guests in the classroom who disrupt the day-to-day classroom environment. we may use pedagogical strategies that students are unused to and unprepared for. this session aims to provide space to discuss the connection between emotions and cognition, how this affects student learning, and share strategies for how we can increase our affective instruction competency. ",,Live ,,,,Teaching and Learning,Critical Librarianship,
2021-9,"Trust, Criticality, & the Open Web: Three Approaches to Teaching Lateral Reading",Panel Session,Rowan University,University of Minnesota-Duluth,Indiana Univesity-Kokomo,,,,,,2021,2021-9,"Lateral reading - the process of moving off of a webpage to see what others say about it - has become critical for effectively evaluating online sources. While lateral reading appears simple, teaching it reveals layers of complexity, which include deciding where to place one’s trust; how some voices are privileged while others are marginalized; and the impulse of many online readers to focus more on surface features of web sources over more critical questions and analysis. Presenters from three institutions will share about their varied experiences teaching lateral reading to undergraduate students: in a credit-bearing information literacy course that explored information ethics and social justice in relation to networked media systems; through a scaffolded online tutorial through which students practice source evaluation with lateral reading; and in flipped information literacy instruction sessions designed for first-year writing classes on investigating sources and finding better coverage for news stories.","lateral reading - the process of moving off of a webpage to see what others say about it - has become critical for effectively evaluating online sources. while lateral reading appears simple, teaching it reveals layers of complexity, which include deciding where to place one’s trust; how some voices are privileged while others are marginalized; and the impulse of many online readers to focus more on surface features of web sources over more critical questions and analysis. presenters from three institutions will share about their varied experiences teaching lateral reading to undergraduate students: in a credit-bearing information literacy course that explored information ethics and social justice in relation to networked media systems; through a scaffolded online tutorial through which students practice source evaluation with lateral reading; and in flipped information literacy instruction sessions designed for first-year writing classes on investigating sources and finding better coverage for news stories.",,Live ,,,,Teaching and Learning,Information Literacy,
2021-10,Open Minds: Meeting the Needs of Students with Mental Illness for Future Success,Panel Session,Lenior Rhyne University,University of North Carolina at Wilmington,,,,,,,2021,2021-10,"Meeting the mental health needs of students is essential to ensure they are successful in completing their education. Libraries are an important partner in: coordinating mental health training for library staff; compiling available mental health resources; hosting mental health awareness programming; and cultivating a collection of titles on mental health topics. 
The panel moderator is a second career librarian with experience as a master’s level clinical psychologist. Additional members are a library director, student worker supervisor, and college counselor. Topics to be addressed include: common mental disorders encountered in a college setting; responding to students with a mental disorder in an empathetic manner; role of library policy in ensuring equitable access; managing library staff with mental health concerns; coordinating training opportunities for library staff on mental health topics; and organizing programming to increase mental health awareness and reduce stigma.","meeting the mental health needs of students is essential to ensure they are successful in completing their education. libraries are an important partner in: coordinating mental health training for library staff; compiling available mental health resources; hosting mental health awareness programming; and cultivating a collection of titles on mental health topics. 
the panel moderator is a second career librarian with experience as a master’s level clinical psychologist. additional members are a library director, student worker supervisor, and college counselor. topics to be addressed include: common mental disorders encountered in a college setting; responding to students with a mental disorder in an empathetic manner; role of library policy in ensuring equitable access; managing library staff with mental health concerns; coordinating training opportunities for library staff on mental health topics; and organizing programming to increase mental health awareness and reduce stigma.",,Live ,,,,Outreach,Student Success,
2021-11,Library Structures as Sites to Rethink: Using Established Workflows to Open a New Understanding of EDI Unit Culture,Panel Session,Utah State University,,,,,,,,2021,2021-11,"This panel of presenters explored how established workflows, documentation, and cross-campus connections could be re-purposed to promote equity, diversity, and inclusion (EDI) unit goals. The purpose of this panel will be to 1) model how one library unit is working to integrate EDI conversations and practices into established library and unit structures 2) offer a reflective and interactive component to help participants identify what structures they already have in place at their institutions that could be recast with an EDI focus, and 3) share professional development examples that can support EDI needs and open conversations within a unit.","this panel of presenters explored how established workflows, documentation, and cross-campus connections could be re-purposed to promote equity, diversity, and inclusion (edi) unit goals. the purpose of this panel will be to 1) model how one library unit is working to integrate edi conversations and practices into established library and unit structures 2) offer a reflective and interactive component to help participants identify what structures they already have in place at their institutions that could be recast with an edi focus, and 3) share professional development examples that can support edi needs and open conversations within a unit.",,Live ,,,,Professional/Staff Development,"Equity, Diversity and Inclusion",
2021-12,Train the Teacher: Library Professional Development through Canvas,TechConnect Presentation,Moreno Valley College,,,,,,,,2021,2021-12,"2nd of 3 TechConnect presentations in session. A community college library created a faculty development course in Canvas that faculty can self-enroll in for professional development. This session will present the modules created in Canvas that educate faculty on how librarians and library resources can support their courses, with an emphasis on Canvas integration.","2nd of 3 techconnect presentations in session. a community college library created a faculty development course in canvas that faculty can self-enroll in for professional development. this session will present the modules created in canvas that educate faculty on how librarians and library resources can support their courses, with an emphasis on canvas integration.",,Live ,,,,Professional/Staff Development,Type of Library-Community College,
2021-13,You're still managing people! Achieve potential and avoid pitfalls when using technology tools to manage people and projects,TechConnect Presentation,University of Tennessee at Chattanooga,,,,,,,,2021,2021-13,"1st of 3 TechConnect presentations in session. Join the managers of scholarly communications and public services teams to learn how we used tech tools to effectively manage staff, quickly adapt to new working arrangements, and drastically change services during the COVID-19 pandemic. Pause with us to examine the successes and failures of various tech platforms in the key areas of fostering collaboration and maintaining collegial relationships -- and lessons learned as we opened for face-to-face library services for fall 2020. We will discuss which platforms we plan to use in a post-pandemic future, and we invite participants to share their own lessons learned from implementing tech solutions for managing people and projects.","1st of 3 techconnect presentations in session. join the managers of scholarly communications and public services teams to learn how we used tech tools to effectively manage staff, quickly adapt to new working arrangements, and drastically change services during the covid-19 pandemic. pause with us to examine the successes and failures of various tech platforms in the key areas of fostering collaboration and maintaining collegial relationships -- and lessons learned as we opened for face-to-face library services for fall 2020. we will discuss which platforms we plan to use in a post-pandemic future, and we invite participants to share their own lessons learned from implementing tech solutions for managing people and projects.",,Live ,,,,"Administration, Management, and Leadership",Organizational Change,
2021-14,"Collecting, modelling, and adding institutional data to Research Information Management Systems",TechConnect Presentation,Oklahoma State University,,,,,,,,2021,2021-14,"3rd of 3 TechConnect presentations in session. A Research Information Management (RIM) System is a platform providing a single source of data on faculty biographical information, research publications, teaching, grants, and other scholarly output. Librarians are well positioned to provide thoughtful leadership in collecting and modeling data structures for capturing institutional data in RIM systems. This presentation will describe some technological processes required for managing RIM system data, including developing crosswalks for data in multiple existing systems, harvesting bibliographic metadata, and using ORCID, Scopus, Crossref, and RIM system APIs. There are no authoritative data sources for many of these inputs, and departments across the university vary in terms of their publications and service activities. Thus our presentation will also touch on the sociotechnical side, including our approach to consultations with the research office, university administration, IT, faculty, HR, and others.","3rd of 3 techconnect presentations in session. a research information management (rim) system is a platform providing a single source of data on faculty biographical information, research publications, teaching, grants, and other scholarly output. librarians are well positioned to provide thoughtful leadership in collecting and modeling data structures for capturing institutional data in rim systems. this presentation will describe some technological processes required for managing rim system data, including developing crosswalks for data in multiple existing systems, harvesting bibliographic metadata, and using orcid, scopus, crossref, and rim system apis. there are no authoritative data sources for many of these inputs, and departments across the university vary in terms of their publications and service activities. thus our presentation will also touch on the sociotechnical side, including our approach to consultations with the research office, university administration, it, faculty, hr, and others.",,Live ,,,,Scholarly Communication,Data Services,
2021-15,"The Criticalness of LIS: Incorporating Critical Theory, Pedagogy, and Action in LIS Research, Teaching, and Practice",Contributed Paper,University of Illinois-Urbana-Champaign,,,,,,,,2021,2021-15,"Critical theory, pedagogy, and action are often missing from library and information science scholarly work. Through the engagement of critical thought, we can challenge dominant LIS discourses using critical research methods and examining mechanisms for engendering social change via LIS. This project highlights the importance of using these critical components holistically within academia to highlight intersectionality within LIS, acknowledge the contributions of marginalized knowledge production and ways of knowing, and to strengthen and enhance LIS research, teaching, and practice. It will specifically discuss how the Black radical tradition, Black feminist pedagogies, and Black radical movements can inform these three components of academic work and life.","critical theory, pedagogy, and action are often missing from library and information science scholarly work. through the engagement of critical thought, we can challenge dominant lis discourses using critical research methods and examining mechanisms for engendering social change via lis. this project highlights the importance of using these critical components holistically within academia to highlight intersectionality within lis, acknowledge the contributions of marginalized knowledge production and ways of knowing, and to strengthen and enhance lis research, teaching, and practice. it will specifically discuss how the black radical tradition, black feminist pedagogies, and black radical movements can inform these three components of academic work and life.",,Live ,,,,Teaching and Learning,Critical Librarianship,
2021-16,Under Pressure: Rethinking How We Teach Plagiarism,Contributed Paper,University of New England,Texas State Library & Archives Commission,,,,,,,2021,2021-16,"Ask any librarian how she feels about teaching plagiarism to students, and you will probably receive responses like “it’s boring” and “it’s complicated.” The way academic librarians have traditionally taught plagiarism has left a lot to be desired, both for librarians and students, by overemphasizing consequences and failing to establish real-life applications. This session proposes a compassionate and empathetic approach to academic integrity instruction, steeped in feminist and anti-racist principles. We will explore the politics of citation and its disproportionate privileging of White and male voices at the expense of women and people of color.","ask any librarian how she feels about teaching plagiarism to students, and you will probably receive responses like “it’s boring” and “it’s complicated.” the way academic librarians have traditionally taught plagiarism has left a lot to be desired, both for librarians and students, by overemphasizing consequences and failing to establish real-life applications. this session proposes a compassionate and empathetic approach to academic integrity instruction, steeped in feminist and anti-racist principles. we will explore the politics of citation and its disproportionate privileging of white and male voices at the expense of women and people of color.",,Live ,,,,"Equity, Diversity and Inclusion",Information Literacy,
2021-17,Does it all add up?: Libraries supporting entrepreneurship through financial literacy,Contributed Paper,Penn State University,,,,,,,,2021,2021-17,"What can lead to entrepreneurial success? Financial literacy. Who can help deliver this vital resource? Your academic library. In this session, we will examine the landscape of library financial literacy support for campus entrepreneurship programs – why it is important, what is working, and what is missing. We will explore the library resources, partnerships, and programs that best support student entrepreneurs. Further, we will explore assessment methods for demonstrating library impact. Attendees will have the opportunity to share their successes and challenges in reaching this group, and together we will brainstorm effective solutions for opening the door to new entrepreneurship/library collaborations.","what can lead to entrepreneurial success? financial literacy. who can help deliver this vital resource? your academic library. in this session, we will examine the landscape of library financial literacy support for campus entrepreneurship programs – why it is important, what is working, and what is missing. we will explore the library resources, partnerships, and programs that best support student entrepreneurs. further, we will explore assessment methods for demonstrating library impact. attendees will have the opportunity to share their successes and challenges in reaching this group, and together we will brainstorm effective solutions for opening the door to new entrepreneurship/library collaborations.",,Live ,,,,Outreach,Collaboration,
2021-18,The Cultural Proficiencies for Racial Equity Framework: Progress Report,Panel Session,North Carolina State University,McGill University,,,,,,,2021,2021-18,"In 2020, the Association of College and Research Libraries (ACRL), the Association of Research Libraries (ARL), ALA’s Office for Diversity, Literacy and Outreach Services (ODLOS), and the Public Library Association (PLA) created a taskforce to create a framework for cultural proficiencies in racial equity. The work was originally scheduled to end in June 2020, but the COVID-19 pandemic drastically changed the timeline. This delay, while unfortunate, allowed the taskforce to better explore racial inequity in libraries and among librarians through surveys and environmental scans. Join members of the taskforce to learn about the process, the status of the taskforce, and get a first look at the framework. ","in 2020, the association of college and research libraries (acrl), the association of research libraries (arl), ala’s office for diversity, literacy and outreach services (odlos), and the public library association (pla) created a taskforce to create a framework for cultural proficiencies in racial equity. the work was originally scheduled to end in june 2020, but the covid-19 pandemic drastically changed the timeline. this delay, while unfortunate, allowed the taskforce to better explore racial inequity in libraries and among librarians through surveys and environmental scans. join members of the taskforce to learn about the process, the status of the taskforce, and get a first look at the framework. ",,Live ,,,,"Equity, Diversity and Inclusion",No tag,
2021-19,How to Thrive in Uncertain Times,Panel Session,No affiliation,,,,,,,,2021,2021-19,"Yes, we are in the middle of really challenging times. But that does not mean you have to step back, feel helpless, or exhaust yourself with anxiety. You can move forward with purpose, no matter what is going on around you. How? By choosing to take on a mindset and a series of actions that make a difference. You can handle uncertainty by remembering what’s important to you, uncovering your best self, and committing to moving toward a future that offers possibilities. Join us for ideas in a lively, interactive session on how you can begin to shape a positive future for yourself.","yes, we are in the middle of really challenging times. but that does not mean you have to step back, feel helpless, or exhaust yourself with anxiety. you can move forward with purpose, no matter what is going on around you. how? by choosing to take on a mindset and a series of actions that make a difference. you can handle uncertainty by remembering what’s important to you, uncovering your best self, and committing to moving toward a future that offers possibilities. join us for ideas in a lively, interactive session on how you can begin to shape a positive future for yourself.",,Live ,,,,Professional/Staff Development,No tag,
2021-20,Making Invisible Librarianship Visible,Panel (VCW),Clemson University,,,,,,,,2021,2021-20,"As service-oriented professionals, librarians’ work that is not public-facing may be overlooked or misunderstood inside and outside the library. Work takes places behind the scenes every day to facilitate institutional, professional, and personal growth, such as unofficial leadership roles. But this load of invisible librarianship comes at a cost. In this interactive webcast, four early-career, tenure-track library faculty in different roles will share examples from their own work that explore the dichotomy of visible and invisible librarianship. They will then engage attendees in exploring, illuminating, and de-stigmatizing invisible librarianship and professional expectations. By naming invisible librarianship and making it visible, libraries and librarians can advocate and teach about the behind-the-scenes activities that are central to patrons, the institution, and the library profession.","as service-oriented professionals, librarians’ work that is not public-facing may be overlooked or misunderstood inside and outside the library. work takes places behind the scenes every day to facilitate institutional, professional, and personal growth, such as unofficial leadership roles. but this load of invisible librarianship comes at a cost. in this interactive webcast, four early-career, tenure-track library faculty in different roles will share examples from their own work that explore the dichotomy of visible and invisible librarianship. they will then engage attendees in exploring, illuminating, and de-stigmatizing invisible librarianship and professional expectations. by naming invisible librarianship and making it visible, libraries and librarians can advocate and teach about the behind-the-scenes activities that are central to patrons, the institution, and the library profession.",,Live ,,,,"Administration, Management, and Leadership",Leadership Pipeline,
2021-21,Patent and Trademark Outreach & Indigenous Intellectual Property,Contributed Paper,New Mexico State University,University of Utah,,,,,,,2021,2021-21,"A literature review confirms that indigenous populations continue to struggle to maintain control over their cultural and intellectual properties. While US federal intellectual property protections exist for indigenous inventors, our research reveals few tribes are taking advantage of these programs. For instance, within the 4-corner states (Colorado, Utah, Arizona, and New Mexico) there are 53 federally recognized tribes. Only 5 tribes have taken advantage of the United States Patent and Trademark Office’s tribal insignia trademark program. The ultimate goal of this multi-state, multi-institutional project is to create an educational outreach program about patents and trademarks to these populations. ","a literature review confirms that indigenous populations continue to struggle to maintain control over their cultural and intellectual properties. while us federal intellectual property protections exist for indigenous inventors, our research reveals few tribes are taking advantage of these programs. for instance, within the 4-corner states (colorado, utah, arizona, and new mexico) there are 53 federally recognized tribes. only 5 tribes have taken advantage of the united states patent and trademark office’s tribal insignia trademark program. the ultimate goal of this multi-state, multi-institutional project is to create an educational outreach program about patents and trademarks to these populations. ",,Live ,,,,"Equity, Diversity and Inclusion",Intellectual Property and Copyright,
2021-22,Creative Ways to Promote Digital Resources: How to drive engagement to better serve your students ,Panel Session,Overdrive Professional,Gettysburg College,Vermont College of Fine Arts,,,,,,2021,2021-22,"For the past year, academic libraries have supported students, faculty, and staff remotely with ebooks and audiobooks. For many, adding these digital solutions stretched the budget and it’s important to maximize the return on those efforts by reaching the most readers. In this session, we’ll share real-life examples from academic partners who have successfully leveraged their digital library to their community. You’ll come away with best practices to ensure your users know what digital resources are available and how to access them, helping you get the most value and use out of your investment.","for the past year, academic libraries have supported students, faculty, and staff remotely with ebooks and audiobooks. for many, adding these digital solutions stretched the budget and it’s important to maximize the return on those efforts by reaching the most readers. in this session, we’ll share real-life examples from academic partners who have successfully leveraged their digital library to their community. you’ll come away with best practices to ensure your users know what digital resources are available and how to access them, helping you get the most value and use out of your investment.",,Live ,,,,Outreach,No tag,
2021-23,Is the IR Storage or Showcase?,Contributed Paper,Virginia Tech,,,,,,,,2021,2021-23,"IRs give their home institutions both a digital library and a showcase, but do IRs accurately reflect their institutions? Is the IR instead an isolated storage archive disconnected from its home institution? Assessing IRs from the perspective of their institutions’ scholarly output and activities is a little used frame of reference. This study used Google to search the IR and the institution’s website for words authors used when writing about Indigenous People, LatinX and LGBTQ. This study also searched the IR directly to compare terms in graduate students’ ETDs and faculty peer reviewed publications. Let’s talk about IRs and whether they reflect their institutions’ “quality and … research activities” as Raym Crow suggested in 2002 as well as hold an historically inclusive record as Sam Winn admonished in 2017. Let’s discuss assessing IRs and whether using select microcosms and authors’ vocabularies is an appropriate way to measure correlation within the institution. ","irs give their home institutions both a digital library and a showcase, but do irs accurately reflect their institutions? is the ir instead an isolated storage archive disconnected from its home institution? assessing irs from the perspective of their institutions’ scholarly output and activities is a little used frame of reference. this study used google to search the ir and the institution’s website for words authors used when writing about indigenous people, latinx and lgbtq. this study also searched the ir directly to compare terms in graduate students’ etds and faculty peer reviewed publications. let’s talk about irs and whether they reflect their institutions’ “quality and … research activities” as raym crow suggested in 2002 as well as hold an historically inclusive record as sam winn admonished in 2017. let’s discuss assessing irs and whether using select microcosms and authors’ vocabularies is an appropriate way to measure correlation within the institution. ",,Live ,,,,Scholarly Communication,"Equity, Diversity and Inclusion",
2021-24,Building a Supportive Academic Community for Undergraduate Women in the STEM Fields,Contributed Paper,Simmons University,,,,,,,,2021,2021-24,"The Science, Technology, Engineering, and Mathematics (STEM) fields have been at the forefront of scholarly research and international news. Women continue to be underrepresented in the STEM fields and this has been an issue for over 30 years. The academic library is a central place on college campuses and academic librarians could collaborate with faculty members to provide support for undergraduate women in STEM. This also means more outreach with the faculty and students to work together in order to provide library resources, programs and events. One reason why women continue to be underrepresented is because they do not receive enough support. This study is an extension of a previous study by the author on how undergraduate women in the STEM fields use academic library resources and services. Based on the findings, undergraduate women in STEM expressed a feeling of limited support from STEM faculty and their academic advisors. The academic librarians and library staff discussed the fact that many attempts for outreach and collaboration with STEM faculty often fail due to a lack of response. The goal is for this paper to lead to opportunities to provide more support for undergraduate women in the STEM fields.","the science, technology, engineering, and mathematics (stem) fields have been at the forefront of scholarly research and international news. women continue to be underrepresented in the stem fields and this has been an issue for over 30 years. the academic library is a central place on college campuses and academic librarians could collaborate with faculty members to provide support for undergraduate women in stem. this also means more outreach with the faculty and students to work together in order to provide library resources, programs and events. one reason why women continue to be underrepresented is because they do not receive enough support. this study is an extension of a previous study by the author on how undergraduate women in the stem fields use academic library resources and services. based on the findings, undergraduate women in stem expressed a feeling of limited support from stem faculty and their academic advisors. the academic librarians and library staff discussed the fact that many attempts for outreach and collaboration with stem faculty often fail due to a lack of response. the goal is for this paper to lead to opportunities to provide more support for undergraduate women in the stem fields.",,Live ,,,,Outreach,No tag,
2021-25,The Library is Open (And Hiring): Toward Conscientious Academic Librarian Hiring Practices,Contributed Paper,Vanderbilt University,"University of Nevada, Las Vegas",,,,,,,2021,2021-25,"Phone/video calls and campus visits are  mainstays of academic librarian hiring that theoretically provide the greatest insight to a candidate’s qualifications, skills, and personality; however, they are rarely designed to allow a candidate to perform to their optimum abilities. Specifically, the emotional, physical and financial tolls the academic job search has on candidates are not adequately considered by search committees when designing interview processes. In this program, presenters will share the methods and results of research conducted with members of academic library hiring committees. Results and discussion will focus on the beliefs and points-of-view of current and prior search committee members on the purpose of the campus visit and whether this influences implementation of suggested best practices for compassionate hiring. Finally,  strategies for persuasion and inclusion of compassionate hiring practices during academic librarian interviews will be discussed.","phone/video calls and campus visits are  mainstays of academic librarian hiring that theoretically provide the greatest insight to a candidate’s qualifications, skills, and personality; however, they are rarely designed to allow a candidate to perform to their optimum abilities. specifically, the emotional, physical and financial tolls the academic job search has on candidates are not adequately considered by search committees when designing interview processes. in this program, presenters will share the methods and results of research conducted with members of academic library hiring committees. results and discussion will focus on the beliefs and points-of-view of current and prior search committee members on the purpose of the campus visit and whether this influences implementation of suggested best practices for compassionate hiring. finally,  strategies for persuasion and inclusion of compassionate hiring practices during academic librarian interviews will be discussed.",,Live ,,,,"Administration, Management, and Leadership","Equity, Diversity and Inclusion",
2021-26,From Library Analytics to Learning Analytics,Panel Session,University of Denver,EBSCO Information Services,,,,,,,2021,2021-26,"Join two library leaders who are thinking innovatively about how library data could and should be used to gain greater insights into how users are engaging with their libraries, librarians, and collections & services. Robust analytics and new ways of leveraging statistics are poised to become a transformative force in libraries as we are continually re-evaluating how we invest in our people, systems, and services. These libraries have begun to invest in tools and methods of collecting data that are helping them to connect user interaction with library services with overall outcomes to connect library engagement to patron success.","join two library leaders who are thinking innovatively about how library data could and should be used to gain greater insights into how users are engaging with their libraries, librarians, and collections & services. robust analytics and new ways of leveraging statistics are poised to become a transformative force in libraries as we are continually re-evaluating how we invest in our people, systems, and services. these libraries have begun to invest in tools and methods of collecting data that are helping them to connect user interaction with library services with overall outcomes to connect library engagement to patron success.",,Live ,,,,Assessment,No tag,
2021-27,One of Us: Social Performance in Academic Library Hiring,Contributed Paper,University of Portland,Pacific University,,,,,,,2021,2021-27,"As academic libraries examine their hiring processes in order to recruit more diverse faculty and staff, an element of the interview process most likely to disadvantage candidates from diverse backgrounds often remains unexamined: public and social interactions aimed at assessing candidates’ “fit” with a workplace culture. These interactions, such as meals and public presentations, are often irrelevant in evaluating professional competency and can create candidate discomfort and introduce bias. This presentation will describe common forms of social performance in interview processes, and provide templates for assessing the utility of social performance in individual searches and focusing interviews on relevant competencies.","as academic libraries examine their hiring processes in order to recruit more diverse faculty and staff, an element of the interview process most likely to disadvantage candidates from diverse backgrounds often remains unexamined: public and social interactions aimed at assessing candidates’ “fit” with a workplace culture. these interactions, such as meals and public presentations, are often irrelevant in evaluating professional competency and can create candidate discomfort and introduce bias. this presentation will describe common forms of social performance in interview processes, and provide templates for assessing the utility of social performance in individual searches and focusing interviews on relevant competencies.",,Live ,,,,"Equity, Diversity and Inclusion",Human Resources,
2021-28,BIPOC Art Librarians: The Anomaly in the Academy,Panel Session,Smith College,Institute of Fine Arts,University of Oregon,University of Houston Downtown,,,,,2021,2021-28,"This panel will bring together art librarians of color from different institutions to discuss the anomaly of their positions in academic libraries and use this to give recommendations for forming pedagogies and relationships across campus. From pushing back against faculty who reinforce canonical white art in their courses to the assumptions made of the expertise of BIPOC art librarians, this session will discuss the lived experiences of art librarians of color navigating the institutional structures of whiteness & power in higher education and how we use critical literacies as a means of engaging students in conversations concerning social justice. ","this panel will bring together art librarians of color from different institutions to discuss the anomaly of their positions in academic libraries and use this to give recommendations for forming pedagogies and relationships across campus. from pushing back against faculty who reinforce canonical white art in their courses to the assumptions made of the expertise of bipoc art librarians, this session will discuss the lived experiences of art librarians of color navigating the institutional structures of whiteness & power in higher education and how we use critical literacies as a means of engaging students in conversations concerning social justice. ",,Live ,,,,"Equity, Diversity and Inclusion",Critical Librarianship,
